node,handle,topic_type,topics,post_count,engagement,in_degree,out_degree,weighted_in_degree,weighted_out_degree
did:plc:p4cbffibyzy6jlf47gw6pxdg,supertennisnews.bsky.social,tennis_only,['tennis'],7,7,0,0,0,0
did:plc:xrvfs2bdj67zddpj6jhivoro,eurosport.stadio.top,tennis_only,['tennis'],11,2,0,0,0,0
did:plc:2muafgkp6xyt26b5deviz6zb,pressebot.bsky.social,tennis_only,['tennis'],2,0,0,0,0,0
did:plc:epubovkxmnx3rmesbdrfdsto,magentarocks.bsky.social,tennis_only,['tennis'],7,29,0,0,0,0
did:plc:eogfhi57s2pykg6ha7di52ss,nieuwsjunkies.nl,tennis_only,['tennis'],3,0,0,0,0,0
did:plc:7562ertypylmpblstzpe33si,chillyboy.bsky.social,tennis_only,['tennis'],1,0,0,0,0,0
did:plc:7vpm5ixhfr6ge7rkcxwgrdrw,peacelovegen.bsky.social,tennis_only,['tennis'],1,9,0,0,0,0
did:plc:aptk5ggg7cbxdnx6edcdisgx,sunteam.bsky.social,tennis_only,['tennis'],1,8,0,0,0,0
did:plc:wuojeafwvlqn7devygjbcdjk,johnmcnwoods.eurosky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:6wf2miqr5lzrc45qxlb26yfv,leemeade.bsky.social,tennis_only,['tennis'],3,13,0,0,0,0
did:plc:uf6566ur4zv2h7yl4les2ygh,umlegacypress.com,tennis_only,['tennis'],6,44,0,0,0,0
did:plc:pbwkoqw6rbmrhaa5j3upvvqn,drsuep01.bsky.social,tennis_only,['tennis'],1,2,0,0,0,0
did:plc:wx5uevpvx7wtnulsymj26gwu,nitojr.bsky.social,tennis_only,['tennis'],3,6,0,0,0,0
did:plc:3qfxhwf3rlf3ay33wkxqzj6i,johanneboucher.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
did:plc:76pkofp3woa4tdsglc6eovip,timtyrrell.bsky.social,tennis_only,['tennis'],3,3,0,0,0,0
did:plc:d7ms44pprhpohrxd4nd6mdny,tennissolitaire.bsky.social,tennis_only,['tennis'],2,0,0,0,0,0
did:plc:4oh7xt2p3jhu2w7qvmkrjdmc,hansvos.bsky.social,tennis_only,['tennis'],11,184,0,0,0,0
did:plc:ijy2mm25oqxqymjfh42zvn7u,anna66newton.bsky.social,tennis_only,['tennis'],1,1,0,0,0,0
